MSOA,Distance
E02001827,13.43
E02001828,12.87
E02001829,13.1
E02001830,10.33
E02001831,11.28
E02001832,9.926
E02001833,8.601
E02001834,8.256
E02001835,9.258
E02001836,7.744
E02001837,7.254
E02001838,10.8
E02001839,7.286
E02001840,6.764
E02001841,7.981
E02001842,7.063
E02001843,6.533
E02001844,7.171
E02001845,6.366
E02001846,6.065
E02001847,9.283
E02001848,5.36
E02001849,6.198
E02001850,5.455
E02001851,7.021
E02001852,5.131
E02001854,5.723
E02001855,7.586
E02001856,4.077
E02001857,4.487
E02001858,4.407
E02001859,4.339
E02001860,5.102
E02001861,3.706
E02001862,5.613
E02001863,2.8
E02001864,6.06
E02001865,4.048
E02001866,3.065
E02001867,2.346
E02001868,5.421
E02001869,2.431
E02001870,4.431
E02001871,6.755
E02001872,7.807
E02001873,3.318
E02001874,3.334
E02001875,2.243
E02001876,0.879
E02001877,2.68
E02001878,1.318
E02001879,3.64
E02001880,6.261
E02001881,4.075
E02001882,5.275
E02001883,7.771
E02001884,2.482
E02001886,4.385
E02001888,6.568
E02001889,3.332
E02001890,3.797
E02001892,4.2
E02001893,5.378
E02001895,7.762
E02001896,2.841
E02001897,1.711
E02001898,6.383
E02001899,6.057
E02001900,2.54
E02001901,5.24
E02001902,5.873
E02001903,2.639
E02001904,4.514
E02001905,3.835
E02001906,8.175
E02001907,8.015
E02001908,3.203
E02001909,2.69
E02001910,2.727
E02001911,7.164
E02001913,5.643
E02001914,4.131
E02001915,5.837
E02001916,5.038
E02001918,3.991
E02001919,4.237
E02001920,8.769
E02001921,7.088
E02001922,5.499
E02001923,5.162
E02001924,5.995
E02001925,6.604
E02001926,5.544
E02001927,7.879
E02001928,9.839
E02001929,6.651
E02001930,5.364
E02001931,5.826
E02001932,9.329
E02001933,6.071
E02001934,6.818
E02001935,8.379
E02001936,6.36
E02001937,6.417
E02001938,7.017
E02001939,7.912
E02001941,7.484
E02001942,8.229
E02001943,7.268
E02001944,7.565
E02001945,10.3
E02001946,9.373
E02001947,8.238
E02001948,8.318
E02001949,8.465
E02001950,10.8
E02001951,12.41
E02001952,10.24
E02001953,9.39
E02001954,10.09
E02001955,12.28
E02001956,12.72
E02001957,11.39
E02006807,7.605
E02006809,6.077
E02006895,1.791
E02006896,1.115
E02006897,2.494
E02006898,2.128
E02006899,1.181
E02006900,1.845
E02006901,3.806
